Run folder,Model,Effort,Condition,Polish (1-5),Color & typography (1-5),Layout & hierarchy (1-5),Professional feel (1-5),Facet mean,Holistic rating (1-5),Functional score (/42)
claude_opus_4.7_xhigh_with_antigravity_prompt_run_6,Opus 4.7,xHigh,design prompt,5,5,5,5,5.0,5,41
claude_opus_4.6_high,Opus 4.6,High,base,3,3,3,3,3.0,3,41
claude_opus_4.6_high_run_1,Opus 4.6,High,base,3,3,3,3,3.0,3,38
claude_opus_4.6_high_run_2,Opus 4.6,High,base,3,3,3,3,3.0,3,41
claude_opus_4.6_high_run_3,Opus 4.6,High,base,3,3,3,3,3.0,3,40
claude_opus_4.6_high_run_4,Opus 4.6,High,base,3,3,3,3,3.0,3,41
claude_opus_4.6_high_run_5,Opus 4.6,High,base,3,3,3,3,3.0,3,42
claude_opus_4.6_high_run_6,Opus 4.6,High,base,3,3,3,3,3.0,3,41
claude_opus_4.6_with_playwright_high,Opus 4.6,High,+Playwright,3,3,3,3,3.0,3,40
claude_opus_4.6_with_playwright_high_run_2,Opus 4.6,High,+Playwright,3,3,3,3,3.0,3,41
claude_opus_4.6_with_playwright_high_run_3,Opus 4.6,High,+Playwright,3,3,3,3,3.0,3,41
claude_opus_4.6_with_playwright_high_run_4,Opus 4.6,High,+Playwright,3,3,3,3,3.0,3,41
claude_opus_4.6_with_playwright_high_run_5,Opus 4.6,High,+Playwright,3,3,3,3,3.0,3,41
claude_opus_4.6_with_playwright_high_run_6,Opus 4.6,High,+Playwright,3,3,3,3,3.0,3,41
claude_opus_4.6_with_playwright_high_run_7,Opus 4.6,High,+Playwright,3,3,3,3,3.0,3,39
claude_opus_4.6_high_with_antigravity_prompt,Opus 4.6,High,design prompt,4,4,4,4,4.0,4,41
claude_opus_4.6_high_with_antigravity_prompt_run_2,Opus 4.6,High,design prompt,4,4,4,4,4.0,4,40
claude_opus_4.6_high_with_antigravity_prompt_run_3,Opus 4.6,High,design prompt,4,4,4,4,4.0,4,40
claude_opus_4.6_high_with_antigravity_prompt_run_4,Opus 4.6,High,design prompt,4,4,4,4,4.0,4,40
claude_opus_4.6_high_with_antigravity_prompt_run_5,Opus 4.6,High,design prompt,5,5,5,5,5.0,5,41
claude_opus_4.6_high_with_antigravity_prompt_run_6,Opus 4.6,High,design prompt,4,4,4,4,4.0,4,41
claude_sonnet_4.6_high,Sonnet 4.6,High,base,3,3,3,3,3.0,3,39
claude_sonnet_4.6_high_run_2,Sonnet 4.6,High,base,3,3,3,3,3.0,3,41
claude_sonnet_4.6_high_run_3,Sonnet 4.6,High,base,3,3,3,3,3.0,3,42
claude_sonnet_4.6_with_playwright_high,Sonnet 4.6,High,+Playwright,3,3,3,3,3.0,3,39
claude_sonnet_4.6_with_playwright_high_run_2,Sonnet 4.6,High,+Playwright,3,3,3,3,3.0,3,42
claude_sonnet_4.6_high_with_antigravity_prompt,Sonnet 4.6,High,design prompt,4,4,4,4,4.0,4,41
claude_sonnet_4.6_high_with_antigravity_prompt_run_2,Sonnet 4.6,High,design prompt,4,4,4,4,4.0,4,41
claude_sonnet_4.6_high_with_antigravity_prompt_run_3,Sonnet 4.6,High,design prompt,4,4,4,4,4.0,4,42
claude_sonnet_4.6_max_with_antigravity_prompt,Sonnet 4.6,max,design prompt,5,5,5,5,5.0,5,41
claude_qwen_3.6_high_with_playwright,Qwen 3.6,High,+Playwright,3,3,3,3,3.0,3,37
claude_qwen_coder_next_high_with_playwright,Qwen Coder,High,+Playwright,3,3,3,3,3.0,3,24
antigravity_opus_4.6,Opus 4.6,—,native-Antigravity,3,4,3,3,3.25,3,40
antigravity_sonnet_4.6,Sonnet 4.6,—,native-Antigravity,4,4,4,4,4.0,4,42
antigravity_gemini3_flash,Gemini 3 Flash,—,native-Antigravity,3,4,2,3,3.0,3,38
antigravity_gemini_3.1_pro_high,Gemini 3.1 Pro,—,native-Antigravity,2,2,2,2,2.0,2,40
antigravity_gemini_3.1_pro_low,Gemini 3.1 Pro,—,native-Antigravity,3,3,3,3,3.0,3,40
claude_opus_4.6_high_abridged_prompt,Opus 4.6,High,abridged prompt,4,4,4,4,4.0,4,42
claude_opus_4.6_high_abridged_prompt_run_2,Opus 4.6,High,abridged prompt,4,4,4,4,4.0,4,42
claude_opus_4.6_high_abridged_prompt_run_3,Opus 4.6,High,abridged prompt,4,4,4,4,4.0,4,42
claude_opus_4.6_high_abridged_prompt_run_4,Opus 4.6,High,abridged prompt,4,4,4,4,4.0,4,41
claude_opus_4.6_high_abridged_prompt_run_5,Opus 4.6,High,abridged prompt,4,4,4,4,4.0,4,39
claude_opus_4.6_high_abridged_prompt_run_6,Opus 4.6,High,abridged prompt,4,4,4,4,4.0,4,41
claude_opus_4.7_high_abridged_prompt,Opus 4.7,High,abridged prompt,5,5,5,5,5.0,5,40
claude_opus_4.7_high_abridged_prompt_run_2,Opus 4.7,High,abridged prompt,5,5,5,5,5.0,5,42
claude_opus_4.7_high_abridged_prompt_run_3,Opus 4.7,High,abridged prompt,5,5,5,5,5.0,5,41
claude_opus_4.7_high_abridged_prompt_run_4,Opus 4.7,High,abridged prompt,5,5,5,5,5.0,5,41
claude_opus_4.7_high_abridged_prompt_run_5,Opus 4.7,High,abridged prompt,5,5,5,5,5.0,5,41
claude_opus_4.7_high_abridged_prompt_run_6,Opus 4.7,High,abridged prompt,5,5,5,5,5.0,5,40
claude_opus_4.7_xhigh_abridged_prompt,Opus 4.7,xHigh,abridged prompt,5,5,5,5,5.0,5,42
claude_opus_4.7_xhigh_abridged_prompt_run_2,Opus 4.7,xHigh,abridged prompt,5,5,5,5,5.0,5,41
claude_opus_4.7_xhigh_abridged_prompt_run_3,Opus 4.7,xHigh,abridged prompt,5,5,5,5,5.0,5,41
claude_opus_4.7_xhigh_abridged_prompt_run_4,Opus 4.7,xHigh,abridged prompt,5,5,5,5,5.0,5,41
claude_opus_4.7_xhigh_abridged_prompt_run_5,Opus 4.7,xHigh,abridged prompt,5,5,5,5,5.0,5,40
claude_opus_4.7_xhigh_abridged_prompt_run_6,Opus 4.7,xHigh,abridged prompt,5,5,5,5,5.0,5,41
